"id","epocs", "MiniBatch_Id","test_matches","test_cases", "lambda_Reg_", "Cost","Cost_Function_Name","Learning Rate","Total Samples"
2,30,100,8.00,100,0,23.4687087232519,"Cross Entropy",1,1000
3,30,100,15.00,100,0,21.6378530824766,"Cross Entropy",1,1000
4,30,100,15.00,100,0,26.3737355653124,"Cross Entropy",1,1000
5,30,100,15.00,100,0,25.4962293432656,"Cross Entropy",1,1000
6,30,100,8.00,100,0,21.0456936749436,"Cross Entropy",1,1000
7,30,100,8.00,100,0,17.8386159621555,"Cross Entropy",1,1000
8,30,100,11.00,100,0,13.3066977050355,"Cross Entropy",1,1000
9,30,100,8.00,100,0,23.1280411355776,"Cross Entropy",1,1000
10,30,100,14.00,100,0,21.985577518583,"Cross Entropy",1,1000
11,30,100,8.00,100,0,14.5953917893048,"Cross Entropy",1,1000
12,30,100,11.00,100,0,15.2312883093269,"Cross Entropy",1,1000
13,30,100,10.00,100,0,26.4658894684368,"Cross Entropy",1,1000
14,30,100,15.00,100,0,25.928388129986,"Cross Entropy",1,1000
15,30,100,10.00,100,0,19.0042334738601,"Cross Entropy",1,1000
16,30,100,14.00,100,0,22.1397197960846,"Cross Entropy",1,1000
17,30,100,10.00,100,0,11.2308720187293,"Cross Entropy",1,1000
18,30,100,15.00,100,0,17.8160661393348,"Cross Entropy",1,1000
19,30,100,7.00,100,0,22.6744350456374,"Cross Entropy",1,1000
20,30,100,11.00,100,0,17.8088428503562,"Cross Entropy",1,1000
21,30,100,15.00,100,0,23.4202944036908,"Cross Entropy",1,1000
22,30,100,14.00,100,0,13.2156035176744,"Cross Entropy",1,1000
23,30,100,8.00,100,0,32.2678585941854,"Cross Entropy",1,1000
24,30,100,11.00,100,0,14.7212023333877,"Cross Entropy",1,1000
25,30,100,8.00,100,0,12.6314698066766,"Cross Entropy",1,1000
26,30,100,15.00,100,0,17.684375508209,"Cross Entropy",1,1000
27,30,100,14.00,100,0,22.7458094092554,"Cross Entropy",1,1000
28,30,100,11.00,100,0,14.1299062685595,"Cross Entropy",1,1000
29,30,100,14.00,100,0,26.0939459587662,"Cross Entropy",1,1000
"id","epocs", "MiniBatch_Id","test_matches","test_cases", "lambda_Reg_", "Cost","Cost_Function_Name","Learning Rate","Total Samples"
0,30,100,24.00,100,0,3.08461982909396,"Cross Entropy",0.1,1000
1,30,100,19.00,100,0,3.28892324747713,"Cross Entropy",0.1,1000
2,30,100,25.00,100,0,2.74385781982223,"Cross Entropy",0.1,1000
3,30,100,19.00,100,0,2.92792854334092,"Cross Entropy",0.1,1000
4,30,100,34.00,100,0,3.00988241747582,"Cross Entropy",0.1,1000
5,30,100,21.00,100,0,3.16835615043816,"Cross Entropy",0.1,1000
6,30,100,18.00,100,0,2.96349427923939,"Cross Entropy",0.1,1000
7,30,100,30.00,100,0,3.04462250488483,"Cross Entropy",0.1,1000
8,30,100,33.00,100,0,4.10098437725231,"Cross Entropy",0.1,1000
9,30,100,38.00,100,0,4.62267839288381,"Cross Entropy",0.1,1000
10,30,100,30.00,100,0,3.01201710621151,"Cross Entropy",0.1,1000
11,30,100,33.00,100,0,3.11090998605979,"Cross Entropy",0.1,1000
12,30,100,27.00,100,0,2.71022876820672,"Cross Entropy",0.1,1000
13,30,100,26.00,100,0,2.78330207858499,"Cross Entropy",0.1,1000
14,30,100,21.00,100,0,2.95703851326941,"Cross Entropy",0.1,1000
15,30,100,30.00,100,0,3.46826667311199,"Cross Entropy",0.1,1000
16,30,100,30.00,100,0,2.79731865220169,"Cross Entropy",0.1,1000
17,30,100,34.00,100,0,3.45347593865984,"Cross Entropy",0.1,1000
18,30,100,31.00,100,0,4.38386382961793,"Cross Entropy",0.1,1000
19,30,100,25.00,100,0,2.99012379342352,"Cross Entropy",0.1,1000
20,30,100,26.00,100,0,3.76446184586638,"Cross Entropy",0.1,1000
21,30,100,36.00,100,0,3.03858106734065,"Cross Entropy",0.1,1000
22,30,100,28.00,100,0,4.34138517747159,"Cross Entropy",0.1,1000
23,30,100,39.00,100,0,3.16335790665216,"Cross Entropy",0.1,1000
24,30,100,30.00,100,0,3.13214070066115,"Cross Entropy",0.1,1000
25,30,100,40.00,100,0,2.93423078927759,"Cross Entropy",0.1,1000
26,30,100,31.00,100,0,3.96703528382248,"Cross Entropy",0.1,1000
27,30,100,27.00,100,0,3.3693490394127,"Cross Entropy",0.1,1000
28,30,100,39.00,100,0,3.1153873546168,"Cross Entropy",0.1,1000
29,30,100,26.00,100,0,2.97852215256543,"Cross Entropy",0.1,1000
"id","epocs", "MiniBatch_Id","test_matches","test_cases", "lambda_Reg_", "Cost","Cost_Function_Name","Learning Rate","Total Samples"
0,30,100,16.00,100,1,2.87487351201496,"Cross Entropy",0.1,1000
1,30,100,26.00,100,1,2.95051400626862,"Cross Entropy",0.1,1000
2,30,100,20.00,100,1,2.58704149333654,"Cross Entropy",0.1,1000
3,30,100,20.00,100,1,2.94688435362193,"Cross Entropy",0.1,1000
4,30,100,27.00,100,1,2.60327933950004,"Cross Entropy",0.1,1000
5,30,100,21.00,100,1,2.98050970019951,"Cross Entropy",0.1,1000
6,30,100,10.00,100,1,3.04728659988017,"Cross Entropy",0.1,1000
7,30,100,18.00,100,1,2.80447122636793,"Cross Entropy",0.1,1000
8,30,100,19.00,100,1,2.79867997764647,"Cross Entropy",0.1,1000
9,30,100,27.00,100,1,2.66080965659784,"Cross Entropy",0.1,1000
10,30,100,24.00,100,1,3.4264506107305,"Cross Entropy",0.1,1000
11,30,100,20.00,100,1,2.82679333986167,"Cross Entropy",0.1,1000
12,30,100,22.00,100,1,3.28928618444726,"Cross Entropy",0.1,1000
13,30,100,24.00,100,1,3.08116604419296,"Cross Entropy",0.1,1000
14,30,100,24.00,100,1,3.02923879699196,"Cross Entropy",0.1,1000
15,30,100,23.00,100,1,3.13102936533272,"Cross Entropy",0.1,1000
16,30,100,26.00,100,1,3.1564360703672,"Cross Entropy",0.1,1000
17,30,100,22.00,100,1,3.17664800091992,"Cross Entropy",0.1,1000
18,30,100,21.00,100,1,2.61054263901613,"Cross Entropy",0.1,1000
19,30,100,19.00,100,1,2.64706619083337,"Cross Entropy",0.1,1000
20,30,100,22.00,100,1,3.03732114289765,"Cross Entropy",0.1,1000
21,30,100,24.00,100,1,3.01611999299676,"Cross Entropy",0.1,1000
22,30,100,18.00,100,1,3.73870512827651,"Cross Entropy",0.1,1000
23,30,100,27.00,100,1,6.35743834175165,"Cross Entropy",0.1,1000
24,30,100,26.00,100,1,3.15830805652508,"Cross Entropy",0.1,1000
25,30,100,29.00,100,1,3.21992678057964,"Cross Entropy",0.1,1000
26,30,100,27.00,100,1,3.18817941643498,"Cross Entropy",0.1,1000
27,30,100,29.00,100,1,3.19138364190423,"Cross Entropy",0.1,1000
28,30,100,29.00,100,1,2.77913294531695,"Cross Entropy",0.1,1000
29,30,100,27.00,100,1,3.05556515885301,"Cross Entropy",0.1,1000
"id","epocs", "MiniBatch_Id","test_matches","test_cases", "lambda_Reg_", "Cost","Cost_Function_Name","Learning Rate","Total Samples"
0,30,100,42.00,100,1,3.19978441833797,"Cross Entropy",0.01,1000
1,30,100,57.00,100,1,4.24260577188973,"Cross Entropy",0.01,1000
2,30,100,65.00,100,1,3.47107480853766,"Cross Entropy",0.01,1000
3,30,100,64.00,100,1,3.25635099006329,"Cross Entropy",0.01,1000
4,30,100,65.00,100,1,4.03747781407205,"Cross Entropy",0.01,1000
5,30,100,68.00,100,1,4.81780857064415,"Cross Entropy",0.01,1000
6,30,100,74.00,100,1,3.84753727913158,"Cross Entropy",0.01,1000
7,30,100,69.00,100,1,3.75639803320215,"Cross Entropy",0.01,1000
8,30,100,77.00,100,1,4.21607364440916,"Cross Entropy",0.01,1000
9,30,100,71.00,100,1,4.02685038646134,"Cross Entropy",0.01,1000
10,30,100,68.00,100,1,4.99965702473358,"Cross Entropy",0.01,1000
11,30,100,79.00,100,1,4.90252105800563,"Cross Entropy",0.01,1000
12,30,100,77.00,100,1,6.40659276664539,"Cross Entropy",0.01,1000
13,30,100,77.00,100,1,4.25973146820596,"Cross Entropy",0.01,1000
14,30,100,77.00,100,1,4.4711415570085,"Cross Entropy",0.01,1000
15,30,100,72.00,100,1,3.92000698526289,"Cross Entropy",0.01,1000
16,30,100,76.00,100,1,4.30141971444715,"Cross Entropy",0.01,1000
17,30,100,72.00,100,1,5.12392469082052,"Cross Entropy",0.01,1000
18,30,100,73.00,100,1,3.42119838578153,"Cross Entropy",0.01,1000
19,30,100,73.00,100,1,3.91616748524814,"Cross Entropy",0.01,1000
20,30,100,72.00,100,1,3.94880069836593,"Cross Entropy",0.01,1000
21,30,100,75.00,100,1,3.78047595923417,"Cross Entropy",0.01,1000
22,30,100,78.00,100,1,4.78880369500007,"Cross Entropy",0.01,1000
23,30,100,81.00,100,1,5.6793153751661,"Cross Entropy",0.01,1000
24,30,100,74.00,100,1,3.87252750424523,"Cross Entropy",0.01,1000
25,30,100,79.00,100,1,3.44978733182135,"Cross Entropy",0.01,1000
26,30,100,77.00,100,1,3.76011321551694,"Cross Entropy",0.01,1000
27,30,100,75.00,100,1,6.56636867328325,"Cross Entropy",0.01,1000
28,30,100,76.00,100,1,3.93316821353707,"Cross Entropy",0.01,1000
29,30,100,77.00,100,1,4.58499773920567,"Cross Entropy",0.01,1000
"id","epocs", "MiniBatch_Id","test_matches","test_cases", "lambda_Reg_", "Cost","Cost_Function_Name","Learning Rate","Total Samples"
0,30,100,36.00,100,1.5,3.78100115443864,"Cross Entropy",0.01,1000
1,30,100,51.00,100,1.5,3.946832166939,"Cross Entropy",0.01,1000
2,30,100,61.00,100,1.5,3.87009274519862,"Cross Entropy",0.01,1000
3,30,100,59.00,100,1.5,4.16404515941419,"Cross Entropy",0.01,1000
